atom_site_type_symbol,atom_site_fract_x,atom_site_fract_y,atom_site_fract_z
"['Au', 'Au', 'Au', 'Au', 'S', 'S']","['0.25000000', '0.75000000', '0.25000000', '0.75000000', '0.00000000', '0.50000000']","['0.25000000', '0.25000000', '0.75000000', '0.75000000', '0.00000000', '0.50000000']","['0.75000000', '0.25000000', '0.25000000', '0.75000000', '0.00000000', '0.50000000']"
"['Si', 'Si']","['0.25000000', '0.00000000']","['0.75000000', '0.00000000']","['0.50000000', '0.00000000']"
"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']","['0.88242300', '0.58508600', '0.75443900', '0.77805300', '0.36757700', '0.66491400', '0.49556100', '0.47194700', '0.83161600', '0.38152300', '0.85701500', '0.92984600', '0.41838400', '0.86847700', '0.39298500', '0.32015400', '0.00549300', '0.32906300', '0.76642500', '0.89901900', '0.24450700', '0.92093700', '0.48357500', '0.35098100', '0.95307700', '0.39266500', '0.60139600', '0.05286100', '0.29692300', '0.85733500', '0.64860400', '0.19713900']","['0.77805300', '0.75443900', '0.58508600', '0.88242300', '0.47194700', '0.49556100', '0.66491400', '0.36757700', '0.92984600', '0.85701500', '0.38152300', '0.83161600', '0.32015400', '0.39298500', '0.86847700', '0.41838400', '0.89901900', '0.76642500', '0.32906300', '0.00549300', '0.35098100', '0.48357500', '0.92093700', '0.24450700', '0.05286100', '0.60139600', '0.39266500', '0.95307700', '0.19713900', '0.64860400', '0.85733500', '0.29692300']","['0.75443900', '0.77805300', '0.88242300', '0.58508600', '0.49556100', '0.47194700', '0.36757700', '0.66491400', '0.85701500', '0.92984600', '0.83161600', '0.38152300', '0.39298500', '0.32015400', '0.41838400', '0.86847700', '0.76642500', '0.89901900', '0.00549300', '0.32906300', '0.48357500', '0.35098100', '0.24450700', '0.92093700', '0.60139600', '0.05286100', '0.95307700', '0.39266500', '0.64860400', '0.19713900', '0.29692300', '0.85733500']"
"['Ca', 'Ca']","['0.33333300', '0.66666700']","['0.66666700', '0.33333300']","['0.25000000', '0.75000000']"
"['Ta', 'Ta', 'Ta', 'Ta', 'Se', 'Se', 'Se', 'Se', 'Se', 'Se', 'Se', 'Se']","['0.00000000', '0.00000000', '0.00000000', '0.00000000', '0.33333300', '0.66666700', '0.66666700', '0.33333300', '0.33333300', '0.66666700', '0.66666700', '0.33333300']","['0.00000000', '0.00000000', '0.00000000', '0.00000000', '0.66666700', '0.33333300', '0.33333300', '0.66666700', '0.66666700', '0.33333300', '0.33333300', '0.66666700']","['0.00000000', '0.50000000', '0.25000000', '0.75000000', '0.06101400', '0.56101400', '0.93898600', '0.43898600', '0.68864000', '0.18864000', '0.31136000', '0.81136000']"
"['Th', 'Th', 'Th', 'N', 'N', 'N', 'N']","['0.00000000', '0.22191200', '0.77808800', '0.13253800', '0.86746200', '0.37694500', '0.62305500']","['0.00000000', '0.22191200', '0.77808800', '0.13253800', '0.86746200', '0.37694500', '0.62305500']","['0.00000000', '0.22191200', '0.77808800', '0.13253800', '0.86746200', '0.37694500', '0.62305500']"
"['Yb', 'Yb', 'Yb', 'Ge', 'Ge', 'Ge', 'Ge', 'Ge']","['0.00000000', '0.35722600', '0.64277400', '0.66666700', '0.33333300', '0.00000000', '0.26850600', '0.73149400']","['0.64277400', '0.35722600', '0.00000000', '0.33333300', '0.66666700', '0.26850600', '0.00000000', '0.73149400']","['0.50000000', '0.50000000', '0.50000000', '0.00000000', '0.00000000', '0.00000000', '0.00000000', '0.00000000']"
"['Ba', 'Ba', 'Pt', 'Pt', 'Pt', 'Pt']","['0.50000000', '0.75000000', '0.12500000', '0.62500000', '0.12500000', '0.12500000']","['0.50000000', '0.75000000', '0.12500000', '0.12500000', '0.62500000', '0.12500000']","['0.50000000', '0.75000000', '0.12500000', '0.12500000', '0.12500000', '0.62500000']"
"['Ba', 'Ba', 'S', 'S', 'S', 'S']","['0.14103800', '0.85896200', '0.48319600', '0.80532200', '0.19467800', '0.51680400']","['0.85896200', '0.14103800', '0.19467800', '0.51680400', '0.48319600', '0.80532200']","['0.75000000', '0.25000000', '0.02011600', '0.47988400', '0.52011600', '0.97988400']"
"['Hf', 'Hf', 'Hf', 'Hf', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al']","['0.13753600', '0.87404300', '0.01809400', '0.49348600', '0.62484300', '0.87484300', '0.54336800', '0.45021000', '0.42851200', '0.06506600']","['0.75651400', '0.23190600', '0.37595700', '0.11246400', '0.37515700', '0.62515700', '0.18493400', '0.82148800', '0.79979000', '0.70663200']","['0.23190600', '0.75651400', '0.11246400', '0.37595700', '0.37515700', '0.62515700', '0.82148800', '0.18493400', '0.70663200', '0.79979000']"
['Ca'],['0.00000000'],['0.00000000'],['0.00000000']
"['Cu', 'Cu', 'Cu', 'Cu', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P']","['0.96239500', '0.46239500', '0.03760500', '0.53760500', '0.61563400', '0.11563400', '0.38436600', '0.88436600', '0.22243700', '0.72243700', '0.77756300', '0.27756300']","['0.14604300', '0.85395700', '0.85395700', '0.14604300', '0.40628800', '0.59371200', '0.59371200', '0.40628800', '0.24603700', '0.75396300', '0.75396300', '0.24603700']","['0.08182700', '0.41817300', '0.91817300', '0.58182700', '0.91983200', '0.58016800', '0.08016800', '0.41983200', '0.30126400', '0.19873600', '0.69873600', '0.80126400']"
"['Zr', 'Zr', 'V', 'V', 'V', 'V']","['0.25000000', '0.00000000', '0.62500000', '0.62500000', '0.12500000', '0.62500000']","['0.25000000', '0.00000000', '0.62500000', '0.12500000', '0.62500000', '0.62500000']","['0.25000000', '0.00000000', '0.12500000', '0.62500000', '0.62500000', '0.62500000']"
['Mo'],['0.00000000'],['0.00000000'],['0.00000000']
"['Co', 'Co', 'Co', 'Co', 'As', 'As', 'As', 'As', 'As', 'As', 'As', 'As', 'As', 'As', 'As', 'As']","['0.50000000', '0.50000000', '0.00000000', '0.00000000', '0.49319200', '0.34120700', '0.18922200', '0.81077800', '0.34120700', '0.84801500', '0.15198500', '0.15198500', '0.65879300', '0.50680800', '0.65879300', '0.84801500']","['0.00000000', '0.50000000', '0.50000000', '0.00000000', '0.34120700', '0.84801500', '0.34120700', '0.65879300', '0.15198500', '0.50680800', '0.49319200', '0.81077800', '0.84801500', '0.65879300', '0.15198500', '0.18922200']","['0.00000000', '0.50000000', '0.00000000', '0.50000000', '0.15198500', '0.18922200', '0.84801500', '0.15198500', '0.49319200', '0.65879300', '0.34120700', '0.65879300', '0.50680800', '0.84801500', '0.81077800', '0.34120700']"
"['Zr', 'Zr']","['0.33333300', '0.66666700']","['0.66666700', '0.33333300']","['0.25000000', '0.75000000']"
"['Pr', 'Pr', 'Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'Fe']","['0.65897100', '0.34102900', '0.34113300', '0.84620600', '0.09611300', '0.90388700', '0.00000000', '0.00000000', '0.50000000', '0.71154800', '0.28845200', '0.00000000', '0.28845200', '0.71154800', '0.00000000', '0.15379400', '0.65886700', '0.65886700', '0.34113300']","['0.65897100', '0.34102900', '0.34113300', '0.34113300', '0.09611300', '0.90388700', '0.00000000', '0.50000000', '0.00000000', '0.28845200', '0.00000000', '0.71154800', '0.71154800', '0.00000000', '0.28845200', '0.65886700', '0.65886700', '0.15379400', '0.84620600']","['0.65897100', '0.34102900', '0.84620600', '0.34113300', '0.09611300', '0.90388700', '0.50000000', '0.00000000', '0.00000000', '0.00000000', '0.71154800', '0.28845200', '0.00000000', '0.28845200', '0.71154800', '0.65886700', '0.15379400', '0.65886700', '0.34113300']"
"['Re', 'Re']","['0.33333300', '0.66666700']","['0.66666700', '0.33333300']","['0.25000000', '0.75000000']"
